L,R,F,M,C
1.42600864496,-0.95261086343500001,14.1039925854,26.886942149599999,1.29533690628
1.3181960055999999,-0.91997008445399997,9.1217466678499992,13.1933381847,2.8641739176800001
1.3181960055999999,-0.89820956513299999,8.765871959450001,12.717895972599999,2.8769171475999999
0.67132016942599992,-0.43035839973800005,0.7942784912980001,12.604545511500001,1.9928215507
0.38381979779299996,-0.93085034411400003,9.9758459680100007,13.9685675592,1.3440135709200001
0.88694544815099996,-0.52828073668099995,5.7053494672099996,13.2366079104,1.32800861093
1.7135090166,-0.95261086343500001,6.3459239423300007,12.8767583614,1.3153470300499999
-0.0474307596562,-0.94173060377499995,4.3530255752900002,12.885727168900001,1.29766407116
-0.55055641001400002,-0.92541021428399994,3.1430515667400001,14.520101516099999,0.57663968224399997
-0.155243399019,-0.87644904581300009,3.7124511001699996,17.076450195,-0.073552218487200005
-0.29899358483499999,-0.8383681370010001,2.2177773249000001,11.682714299000001,1.4411642078600002
2.2885097598599997,-0.92541021428399994,9.4776213762499992,12.132347336199999,1.2461997460400001
1.42600864496,-0.59356229464300003,1.2213281413799999,14.522009772999999,0.41822472001299998
1.4619461914200003,-0.94173060377499995,7.5558979508899995,7.7469821040199998,3.6525302488199998
0.024444333252099999,-0.94717073360499993,2.7160019166600002,12.066941830199999,1.08131473448
0.85100790169699991,-0.60444255430399996,0.72310354961799994,10.380710601200001,1.6431632243099998
-0.155243399019,-0.91997008445399997,6.3459239423300007,7.3995362249699994,3.5885363478600003
-0.29899358483499999,-0.71324515090700003,2.0042524998599998,12.739268450199999,0.62719001093900006
1.67757147014,-0.94717073360499993,3.7124511001699996,7.2624756715599998,3.6698797085300003
-0.622431502922,-0.82748787734100004,1.8619026165000001,15.064288683800001,-0.072066597847399994
0.70725771587999997,-0.936290473944,6.7017986507300007,7.1553747518199993,3.49613183107
-0.55055641001400002,-0.92541021428399994,0.7942784912980001,9.4203325988100008,1.8350143794099998
2.10882202759,-0.83292800717099991,5.8476993505699992,13.7453969122,0.108839468193
-0.0474307596562,-0.55548138583200002,0.58075366625799996,9.7919656343399986,1.5288494826299999
0.024444333252099999,-0.86556878615199995,2.28895226658,12.6284464294,0.35443754310000003
-0.263056038381,-0.86556878615199995,3.5701012168099999,10.807826206700001,0.97879563556299998
1.3181960055999999,-0.94173060377499995,14.317517410499999,8.1478591768800008,2.2922861746300001
2.2166346669500001,-0.89820956513299999,4.4242005169700001,6.2762407879199991,3.8413392540599998
1.7853841094999998,-0.86012865632199997,6.3459239423300007,6.77448667022,3.3275538467199999
0.74319526233400002,-0.89820956513299999,5.3494747588099996,6.3033857426299997,3.7946541879800004
1.67757147014,-0.94717073360499993,2.9295267417000002,6.0563618840900002,4.0348826081300002
2.2885097598599997,-0.914529954624,5.9188742922499999,6.2937967515999995,3.7416563797400002
2.10882202759,-0.87100891598199992,8.4811721927299999,9.7236500365399987,1.2049078341899999
1.7135090166,-0.94173060377499995,5.9188742922499999,6.2543912461599991,3.6539251692999999
1.3900710985100002,-0.94173060377499995,2.5024770916199999,12.786211570399999,0.021846029771400002
0.16819451906899999,-0.370516971606,0.93662837465799997,9.6969821460599999,1.167211918
2.1806971205000001,-0.77308657903900002,0.86545343297800004,8.23831055498,1.9731243573400004
1.7135090166,-0.27803476449299996,3.00070168338,5.9101894038800005,3.9964578469099998
1.2103833662399999,-0.95261086343500001,10.972295151500001,10.122237201100001,0.90961570381699997
0.455694890701,-0.77308657903900002,4.9224251087300006,5.9009820642299999,3.8187519989099998
1.67757147014,-0.94717073360499993,6.1323991172899994,5.7605820612,3.9772249649800004
-0.37086867774300003,-0.94173060377499995,1.64837779146,8.7787289152499994,1.4945777364300001
1.3541335520500002,-0.94173060377499995,5.9188742922499999,5.9002187614600006,3.6449917726199996
-0.083368306110300008,-0.88732930547299993,2.43130214994,11.4323986972,0.23261569533500001
2.2525722134099997,-0.75132605971900002,3.00070168338,6.8553967637,2.6278835577599997
-0.33493113128899998,-0.8383681370010001,0.651928607938,8.0322188074199996,1.66163757653
-1.0177445139200001,-0.95261086343500001,6.98649841745,8.1321637636999995,1.5886178084399998
1.5697588307799999,-0.91997008445399997,8.6946970177700003,5.8788939903599999,3.4240739812499998
2.2166346669500001,-0.94717073360499993,6.7729735924099996,5.6620682976100003,3.6558262242100001
-0.155243399019,0.69574847510800009,4.1395007502499999,9.6441711357399988,0.765548665455
0.77913280878900004,-0.95261086343500001,12.6093188102,10.426795005800001,0.43714917820400001
-0.80211923519299999,-0.936290473944,5.3494747588099996,5.4937600371000004,3.7971499995699998
1.42600864496,-0.89820956513299999,1.2213281413799999,9.2666702101800009,0.90258681087000014
0.95882054105900005,-0.95261086343500001,2.5736520333000001,5.3912866403999997,3.7055095770099999
1.1385082733299998,-0.95261086343500001,3.9971508668900002,5.6412205907399997,3.3880315714099996
2.2525722134099997,-0.936290473944,7.0576733591299998,9.514314252210001,0.57650268478900002
0.9947580875130001,-0.8383681370010001,4.06832580857,5.4640389355499996,3.4180851690200003
0.88694544815099996,-0.936290473944,8.1252974843300017,8.9328206616899983,0.78736906840800003
2.2525722134099997,-0.87644904581300009,3.0718766250599998,6.5235031785699995,2.2903754749000003
2.2166346669500001,-0.84380826683099996,4.5665504003300006,9.4361234248399999,0.52649467344699996
2.1806971205000001,-0.87644904581300009,3.9971508668900002,5.2577086558699992,3.5555347385800005
2.2885097598599997,-0.95261086343500001,4.6377253420099995,5.6768572887599991,3.05687568973
-0.119305852564,-0.92541021428399994,5.1359499337700001,8.0955729372300009,1.1679195735700001
-0.51461886356000008,-0.88188917564299996,5.9900492339299998,8.9443179096499996,0.68329567471200003
-0.083368306110300008,-0.914529954624,1.2925030830600002,7.0069123633000006,1.81140852444
1.9650718417700002,-0.85468852649200011,5.2071248754499999,4.9601159889000002,3.80216538667
0.9947580875130001,-0.47931956821000005,1.4348529664200003,7.8924389878899994,1.2036440767799998
-0.155243399019,-0.85468852649200011,1.5772028497799999,7.2988756723500003,1.5761589306799999
-0.263056038381,-0.95261086343500001,13.178718343599998,12.3404427535,-0.54582205346900003
0.52756998360999996,-0.91997008445399997,1.2925030830600002,7.97024816388,1.1165016105200001
-1.0536820603699999,-0.62076294379399999,0.43840378289800003,9.197114245369999,0.48700731434100003
0.16819451906899999,-0.85468852649200011,3.7124511001699996,5.7491325196699998,2.77750816564
-0.76618168873899994,-0.936290473944,9.7623211429699985,9.63587021813,0.28523778739100003
0.9947580875130001,-0.88732930547299993,3.4989262751300001,6.0139031675800005,2.4952656595700002
-0.263056038381,-0.76220631937900007,1.71955273314,9.1936793829100001,0.45627552993999998
-0.19118094547299999,-0.8383681370010001,0.72310354961799994,7.3124720029099999,1.4616538092299998
-1.3052448855500001,-0.80028722818999987,0.7942784912980001,7.2560830108700003,1.4783037307700002
-0.55055641001400002,-0.86012865632199997,0.29605389953799999,6.9682701606300013,1.60773314446
-0.263056038381,-0.914529954624,6.4170988840100005,5.8724059168300009,2.4704718024800001
1.8931967488699999,-0.92541021428399994,4.9224251087300006,6.7804976795199998,1.68905654084
-0.981806967463,-0.92541021428399994,1.2925030830600002,9.1387215835600006,0.327981090759
1.5697588307799999,-0.89276943530300001,8.1964724260100006,7.3222518196399999,1.2666981286700001
0.63538262297199999,-0.94717073360499993,3.1430515667400001,4.7516866266099997,3.63354309121
-0.90993187455500002,-0.95261086343500001,4.7800752253699992,9.1439692900999994,0.30064529210300001
2.1806971205000001,-0.90908982479399991,6.0612241756099996,6.6195362081599995,1.7002795053999999
2.2885097598599997,-0.94717073360499993,10.402895618099999,8.9704133230600007,0.34036691723700002
1.6416339236899999,-0.91997008445399997,3.7124511001699996,4.6835618544999997,3.6143048336599999
-0.155243399019,-0.88732930547299993,2.7871768583400001,5.7426444461399999,2.39743058047
1.1744458197799998,-0.17467229772000001,1.2213281413799999,6.6755912552400005,1.59876822266
